zone,numero,couche,x,y,zrelatif,zreference,zabsolu,orientation,pendage,vers,longueur,largeur,epaisseur
K20,407,KLD6,70,33,33,150,183,NS,O,S,54,29,12
K20,112,KLD3,63,47,78,100,178,NS,V,,34,24,11
K20,293,KLD3,51,28,30,150,180,NWSE,O,SE,22,22,8
K20,1144,KLC1,92,91,59,0,59,EW,P,,21,16,10
K20,132,KLD3,55,10,77,100,177,NS,P,,19,12,9
K20,1290,KLC2,91,66,65,0,65,NWSE,O,NW,100,15,10
K20,2552,KLE2,23,2,67,230,297,,V,,16,14,5
K20,2432,KLE2,2,19,64,230,294,EW,P,,22,16,13
K20,12101,KLC11,,,,,,,,,14,10,3
K20,355,KLD3,20,60,35,150,185,NS,P,,25,17,10
K20,550,KLD8,46,69,41,150,191,EW,P,,26,14,6
K20,235,KLD3,15,75,84,100,184,NS,C,,19,17,5
K20,238,KLD3,23,82,81,100,181,EW,P,,19,17,8
K20,967,KLD14,5,10,89,150,239,EW,O,W,33,22,21
K20,1016,KLD14,50,10,92,150,242,NS,O,S,21,7,4
K20,2189,KLD23,52,18,24,240,264,EW,P,,17,15,7
K20,2477,KLE1,32,18,55,230,285,,P,,15,12,11
K20,2637,KLF5M,19,14,63,236,299,EW,P,,17,10,7
K20,2232,KLD23,46,18,30,240,270,EW,O,E,29,14,13
K20,139,KLD4,38,14,82,100,182,NWSE,O,SE,30,19,17
K20,944,KLD13,25,10,78,150,228,,C,,52,38,30
K20,462,KLD6,2,23,42,150,192,,V,,50,4,4
K20,385,KLD3,58,25,39,150,189,EW,O,E,45,24,15
K20,470,KLD6,40,28,40,150,190,EW,P,,15,9,7
K20,292,KLD3,49,35,32,150,182,NS,P,,42,32,20
K20,474,KLD6,49,34,40,150,190,NWSE,P,,18,9,5
K20,719,KLD8,70,38,42,150,192,NWSE,O,NW,28,16,6
K20,525,KLD8,67,38,41,150,191,EW,O,W,28,12,7
K20,2012,KLD19,35,31,8,240,248,NESW,O,SW,11,7,6
K20,23,KLC,52,32,82,0,82,,,,28,10,8
K20,772,KLD10,17,48,45,150,195,,P,,20,20,12
K20,898,KLD11,30,22,55,150,205,EW,O,W,34,20,9
K20,757,KLD10,15,36,45,150,195,EW,O,W,25,10,7
K20,180,KLD3,40,40,84,100,184,EW,P,,22,18,18
K20,125,KLD3,43,32,81,100,181,NWSE,O,SE,15,13,4
K20,776,KLD10,20,43,45,150,195,EW,C,,15,13,6
K20,344,KLD3,19,49,39,150,189,NS,P,,17,10,3
K20,183,KLD3,27,40,84,100,184,,P,,10,6,4
K20,503,KLD7,28,51,39,150,189,EW,P,,15,9,5
K20,375,KLD3,31,40,38,150,188,NWSE,P,,35,20,15
K20,401,KLD3,40,42,38,150,188,EW,V,,12,8,2
K20,437,KLD6,40,47,38,150,188,EW,O,E,47,39,10
K20,540,KLD8,34,51,40,150,190,NESW,V,,19,12,8
K20,698,KLD8,10,57,42,150,192,EW,O,W,25,10,10
K20,533,KLD8,20,56,40,150,190,,V,,28,24,14
K20,799,KLD10,13,63,45,150,195,EW,P,,24,17,4
K20,187,KLD3,40,26,86,100,186,NS,P,,13,11,6
K20,376,KLD3,24,45,39,150,189,EW,O,E,29,15,8
K20,759,KLD10,18,43,45,150,195,NWSE,O,NW,25,14,11
K20,638,KLD8,19,43,46,150,196,NS,O,N,10,8,5
K20,170,KLD3,31,40,81,100,181,,P,,25,20,15
K20,174,KLD3,29,41,84,100,184,,P,,40,40,25
K20,692,KLD8,12,52,42,150,192,NWSE,O,SE,25,12,7
K20,536,KLD8,38,52,41,150,191,EW,O,E,23,11,5
K20,690,KLD8,13,53,42,150,192,NS,O,S,18,16,6
K20,510,KLD8,26,51,39,150,189,NWSE,O,SE,14,6,4
K20,647,KLD8,10,53,42,150,192,NS,P,,10,9,8
K20,725,KLD8,20,60,42,150,192,EW,P,,22,18,11
K20,927,KLD12,32,18,61,150,211,EW,C,,43,27,18
K20,662,KLD8,18,48,44,150,194,EW,P,,10,7,2
K20,167,KLD3,34,46,81,100,181,EW,P,,25,15,7
K20,870,KLD11,20,45,51,150,201,NESW,O,NE,25,15,10
K20,758,KLD10,17,40,45,150,195,EW,O,E,24,10,5
K20,845,KLD11,39,44,51,150,201,NS,O,N,20,20,15
K20,350,KLD3,33,47,36,150,186,EW,P,,14,10,8
K20,171,KLD3,35,40,82,100,182,,P,,20,20,7
K20,169,KLD3,36,43,81,100,181,NS,P,,25,20,10
K20,610,KLD8,36,55,42,150,192,NS,V,,23,20,11
K20,836,KLD11,29,56,51,150,201,NS,P,,35,30,15
K20,773,KLD10,20,52,44,150,194,NS,O,S,26,18,17
K20,879,KLD11,14,56,51,150,201,NS,P,,25,12,10
K20,813,KLD11,13,57,47,150,197,NWSE,C,,30,20,10
K20,532,KLD8,15,58,41,150,191,EW,O,E,20,16,14
K20,869,KLD11,12,60,50,150,200,NS,O,S,20,16,6
K20,699,KLD8,9,57,42,150,192,,C,,19,15,7
K20,652,KLD8,21,54,42,150,192,NWSE,P,,21,10,8
K20,191,KLD3,37,28,86,100,186,NS,P,,30,25,20
K20,980,KLD14,10,12,92,150,242,NS,O,S,23,15,10
K20,593,KLD8,44,17,41,150,191,NWSE,P,,30,20,4
K20,917,KLD12,44,15,58,150,208,NS,O,S,55,38,27
K20,598,KLD8,42,18,42,150,192,NWSE,O,NW,13,9,5
K20,925,KLD12,20,14,62,150,212,EW,P,,13,6,2
K20,676,KLD8,41,19,43,150,193,EW,P,,18,11,8
K20,877,KLD11,12,37,52,150,202,,C,,15,15,5
K20,780,KLD10,28,24,46,150,196,NS,P,,12,9,3
K20,752,KLD10,24,29,44,150,194,NS,P,,15,11,5
K20,905,KLD11,20,20,53,150,203,EW,P,,29,20,13
K20,918,KLD12,32,24,58,150,208,NESW,O,NE,31,26,18
K20,876,KLD11,16,31,52,150,202,NS,C,,35,25,20
K20,504,KLD8,29,49,38,150,188,NWSE,P,,13,7,4
K20,273,KLD3,18,44,38,150,188,,V,,10,9,6
K20,914,KLD11,73,9,54,150,204,NS,P,,37,18,10
K20,995,KLD14,30,25,87,150,237,NWSE,O,NW,28,13,11
K20,984,KLD14,38,45,85,150,235,NS,P,,19,13,4
K20,1998,KLD19,30,37,6,240,246,NS,P,,15,11,6
K20,1994,KLD19,23,20,38,210,248,NWSE,P,,18,14,8
K20,1957,KLD18,28,24,"36,5",210,"246,5",NESW,SV,SW,23,16,9
K20,976,KLD14,16,27,87,150,237,NWSE,O,NW,81,18,14
K20,1006,KLD14,18,29,90,150,240,NS,O,S,35,27,22
K20,975,KLD14,20,26,86,150,236,EW,O,W,29,25,11
K20,1995,KLD19,34,25,"37,5",210,"247,5",NESW,O,NE,20,11,10
K20,1928,KLD17,32,20,"241,5",0,"241,5",NS,P,,26,18,14
K20,1942,KLD18,35,37,"35,5",210,"245,5",NS,O,NW,20,16,11
K20,1978,KLD18,20,31,35,210,245,NS,P,,42,34,20
K20,937,KLD12,30,39,69,150,219,NESW,O,E,20,10,5
K20,1938,KLD18,30,43,"34,5",210,"244,5",,P,,19,17,14
K20,960,KLD13,24,47,86,150,236,EW,P,,24,21,16
K20,992,KLD14,23,31,87,150,237,NWSE,O,NW,27,16,15
K20,1964,KLD18,35,33,"36,5",210,"246,5",EW,P,,25,22,21
K20,972,KLD14,22,31,87,150,237,EW,O,E,28,23,6
K20,973,KLD14,16,31,90,150,240,NWSE,P,,31,18,14
K20,2008,KLD18,20,15,5,240,245,NS,P,,32,22,9
K20,1929,KLD17,32,12,242,0,242,NS,O,S,34,28,20
K20,1975,KLD19,34,13,"37,5",210,"247,5",EW,O,E,32,18,14
K20,993,KLD14,18,18,91,150,241,NWSE,O,NW,25,18,9
K20,1982,KLD18,33,22,37,210,247,NWSE,C,,28,22,12
K20,2060,KLD19,37,11,12,240,252,EW,P,,14,9,7
K20,1941,KLD18,41,52,34,210,244,NESW,O,SE,18,15,12
K20,2020,KLD19,20,60,8,240,248,,SV,N,15,15,13
K20,2308,KLD25,48,18,38,240,278,NS,SC,W,120,50,35
K20,1332,KLC4,85,46,68,0,68,NESW,P,,33,24,13
K20,12031,KLE4,,,,,,,,,10,8,2
K20,12022,KLE4,,,,,,,,,14,14,5
K20,50844,KLD12,,,,,,,,,0,0,0
K20,1991,KLD19,30,34,0,0,,NWSE,SV,,24,17,7
K20,1990,KLD19,28,34,0,0,,NWSE,P,,21,10,8
K20,2138,KLD21,0,0,0,0,,,,,27,19,16
K20,1280,KLC2,81,55,66,0,66,NWSE,O,NW,30,20,16
K20,1355,KLC5,97,37,71,0,71,,V,,18,12,6
K20,2430,KLE2,1,37,58,230,288,NS,P,,14,5,5
K20,12037,KLE4,,,,,,,,,6,4,1
K20,949,KLD13,54,25,82,150,232,NESW,P,,40,20,10
K20,178,KLD3,64,35,83,100,183,NS,P,,15,7,6
K20,323,KLD3,68,38,34,150,184,NESW,P,,15,11,6
K20,2143,KLD21,3,61,16,240,256,,P,,15,10,7
K20,50443,KLD8,,,,,,,,,0,0,0
K20,11914,KLD14,,,,,,,,,20,13,5
K20,11876,KLE1,,,,,,,,,17,16,5
K20,3467,KLG10,3,90,56,300,356,,,,27,13,7
K20,15561,KLF7,,,,,,,,,43,16,12
K20,15562,KLF7,,,,,,,,,35,29,20
K20,15566,KLF7,,,,,,,,,28,21,8
K20,15569,KLF7,,,,,,,,,33,21,17
K20,15570,KLF7,,,,,,,,,26,21,15
K20,15571,KLF7,,,,,,,,,36,28,11
K20,15572,KLF7,,,,,,,,,28,22,9
K20,15573,KLF7,,,,,,,,,38,24,15
K20,15574,KLF7,,,,,,,,,30,24,16
K20,15576,KLF7,,,,,,,,,32,25,14
K20,15577,KLF7,,,,,,,,,38,28,18
K20,15578,KLF7,,,,,,,,,37,21,14
K20,15579,KLF8,,,,,,,,,46,32,7
K20,15580,KLF8,,,,,,,,,29,27,7
